abbr_name,full_name,credits,semester,school
ANTH 570,Anthropology of Violence,3,Fall2023,1
ANTM 380,Spec Tpc in Anatmy,5,Fall2023,1
ARAB 110,Elementary Arabic I,5,Fall2023,1
ARAB 210,Intermediate Arabic I,3,Fall2023,1
ARAB 310,Advanced Arabic I,3,Fall2023,1
ARAB 401,Readings in Arabic I,3,Fall2023,1
ARCE 101,Intro Architecturl Engineering,2,Fall2023,1
ARCE 217,Computer-Assistd Buildng Desgn,3,Fall2023,1
ARCE 390,Special Problems,3,Fall2023,1
ARCE 620,Architectural Acoustics,3,Fall2023,1
ARCE 621,Electro-Acoustical Systems,3,Fall2023,1
ARCE 640,Power Systems Engineering I,3,Fall2023,1
ARCE 645,Electrc Energy Prductn&Storage,3,Fall2023,1
ARCE 647,Power System Analysis I,3,Fall2023,1
ARCE 660,Building Thermal Science,3,Fall2023,1
ARCE 665,Solar Energy Systems Design,3,Fall2023,1
ARCE 670,"Building Thermal Science, Hnrs",3,Fall2023,1
ARCE 690,Special Problems,3,Fall2023,1
ARCE 691,Honors Research,3,Fall2023,1
ARCE 698,Comprehensive Design Project,3,Fall2023,1
ARCH 100,Architectural Foundations I,4,Fall2023,1
ARCH 103,Introduction to Architecture,3,Fall2023,1
ARCH 108,Architectural Foundations I,6,Fall2023,1
ARCH 208,Form and Function,6,Fall2023,1
ARCH 359,Special Problems,3,Fall2023,1
ARCH 501,Architectural Foundations I,6,Fall2023,1
ARCH 503,Form and Function,6,Fall2023,1
ARCH 508,Material and Tectonics,6,Fall2023,1
ARCH 509,Designbuild,6,Fall2023,1
ARCH 510,Architectural Detailing,3,Fall2023,1
ARCH 515,Building Information Modeling,3,Fall2023,1
ARCH 520,Architectural Acoustics,3,Fall2023,1
ARCH 521,Electro-Acoustical Systems,3,Fall2023,1
ARCH 524,Structures I,3,Fall2023,1
ARCH 530,Environmental Systems I,3,Fall2023,1
ARCH 540,Glbl Hist Arch I:Orig Indst Rv,3,Fall2023,1
ARCH 552,Ethics&Leadrshp Profssnl Pract,3,Fall2023,1
ARCH 600,Special Topcs in Architecture:,3,Fall2023,1
ARCH 605,Visualizg Site&Nat Evrn Systms,3,Fall2023,1
ARCH 608,Urban Dwelling,6,Fall2023,1
ARCH 626,Bldng Techn I:Constr Sys&Asmbl,3,Fall2023,1
ARCH 630,Theory of Architecture,3,Fall2023,1
ARCH 646,American Architectural History,3,Fall2023,1
ARCH 647,Historic Preservation Theory,3,Fall2023,1
ARCH 658,Programming &Pre-Design Issues,3,Fall2023,1
ARCH 695,Internship Documentation,3,Fall2023,1
ARMY 101,Introdct to Military Science I,1,Fall2023,1
ARMY 102,Introd to Military Science II,1,Fall2023,1
ARMY 201,Basic Military Science I,1,Fall2023,1
ARMY 202,Basic Military Science II,1,Fall2023,1
ARMY 301,Thry&Dynmc Tactical Operatns l,3,Fall2023,1
ARMY 303,Military Conditioning,1,Fall2023,1
ARMY 401,Concepts of Military Managemnt,3,Fall2023,1
ARMY 402,The Military Profession,3,Fall2023,1
ARMY 450,Military Analysis,1,Fall2023,1
ART 101,Drawing I,3,Fall2023,1
ART 102,Drawing II,3,Fall2023,1
ART 103,Art Concepts and Practice,3,Fall2023,1
ART 104,Art Principles and Practice,3,Fall2023,1
ART 105,Visual Art Seminar,1,Fall2023,1
ART 120,Fundamentals of Painting,3,Fall2023,1
ART 121,Fundamentals of Printmaking,3,Fall2023,1
ART 122,Fundamentals of Sculpture,3,Fall2023,1
ART 123,Fundamentals of Expanded Media,3,Fall2023,1
ART 131,Fundamentals of Ceramics,3,Fall2023,1
ART 132,Fndamntls Metlsmthg/Jewelry,3,Fall2023,1
ART 133,Fundamentals of Fibers,3,Fall2023,1
ART 300,Special Topics in Visual Art:,3,Fall2023,1
ART 375,Directed Readings in Visul Art,3,Fall2023,1
ART 500,Adv Special Topics Visual Art:,3,Fall2023,1
ART 540,Professional Activities Seminr,3,Fall2023,1
ART 575,Adv Directed Reading Visul Art,3,Fall2023,1
ART 590,Internship in Visual Art,3,Fall2023,1
ART 599,Individual Studies Visual Art,6,Fall2023,1
ART 650,Senior Seminar I,3,Fall2023,1
ART 660,Senior Seminar II,3,Fall2023,1
ART 695,Directed Study I,3,Fall2023,1
ART 696,Directed Study II,3,Fall2023,1
ASLD 311,Introduction to Deaf Studies,3,Fall2023,1
ASLD 312,Intersctionality&Deaf Commntes,3,Fall2023,1
ASLD 450,Independent Study,3,Fall2023,1
ASLD 501,Intro ASL/Engl Intrprtng Prfsn,3,Fall2023,1
ASLD 505,Amricn Sign Language V (ASL V),3,Fall2023,1
ASLD 506,Amer Sign Language VI (ASL VI),3,Fall2023,1
ASLD 588,Intrnshp in Amr Sign Lang&Deaf,3,Fall2023,1
ASLD 589,Research Experience in ASLD,3,Fall2023,1
ASLD 605,Interpreting:  English to ASL,3,Fall2023,1
ASLD 608,Interpreting Observ Practicum,6,Fall2023,1
