abbr_name,full_name,credits,semester,school
C&T 420,Tch KS Gvrnm&Cntp Pub Pol Iss:,3,Spring2023,1
C&T 497,Independent Study in:,2,Spring2023,1
C&T 500,Student Teaching in:,6,Spring2023,1
C&T 530,Curr&Instr Foreign Lang Clsrms,3,Spring2023,1
C&T 533,Cur&Inst Mid&Sec Engl/Lang Art,3,Spring2023,1
CE 455,Hydrology,3,Spring2023,1
CE 479,"Intro Envnmntl Engr&Sci, Hnrs",3,Spring2023,1
CE 480,Intro Transportatn Engineering,3,Spring2023,1
CE 484,Materials for Transportatn Fac,3,Spring2023,1
CE 555,Open Channel Flow,3,Spring2023,1
CE 573,Biol Principles of Evrnmtl Eng,3,Spring2023,1
CE 574,Dsgn of Air Polltn Cntrl Systm,3,Spring2023,1
CE 576,Municipal Wtr Supl&Waste Trtmt,4,Spring2023,1
CE 588,Foundation Engineering,3,Spring2023,1
CE 610,Engineering Ethics,3,Spring2023,1
CE 625,Applied Probability&Statistics,3,Spring2023,1
CE 677,Grad Fundmntl of Envrmntl Engr,3,Spring2023,1
CE 684,Matrls for Transprt Facilities,3,Spring2023,1
CER 302,Clay Handbuilding,3,Spring2023,1
CHAM 320,Baroque Ensemble,1,Spring2023,1
CHEM 110,Introductory Chemistry,5,Spring2023,1
CHEM 149,Chemistry for Engneers Suplmnt,2,Spring2023,1
CHEM 175,Chemistry for Chem Sciences II,5,Spring2023,1
CHEM 195,Foundations of Chemistry II Hn,3,Spring2023,1
CHEM 196,"Foundtions Chem II Lab, Honors",2,Spring2023,1
CHEM 250,Math Methods Chemical Sciences,3,Spring2023,1
CHEM 335,Organic Chemistry II,3,Spring2023,1
CHEM 336,Organic Chemistry II Laboratry,2,Spring2023,1
CHEM 385,"Organic Chemistry II, Honors",3,Spring2023,1
CHEM 535,Physical Chemistry II,3,Spring2023,1
CHEM 537,Physical Chemistry Lab,3,Spring2023,1
CHEM 598,Research Methods,3,Spring2023,1
CHEM 635,Instrumentl Methds of Analysis,2,Spring2023,1
CHEM 636,Instrumtl Mthd of Analysis Lab,3,Spring2023,1
CHEM 661,Advanced Inorganic Laboratory,2,Spring2023,1
CHEM 680,Topics in Chemistry:,3,Spring2023,1
CHIN 108,Elementary Chinese II,5,Spring2023,1
CHIN 208,Intermediate Chinese II,5,Spring2023,1
CHIN 290,Accelerated Chinese,3,Spring2023,1
CHIN 508,Advanced Modern Chinese II,5,Spring2023,1
CHIN 544,Readings in Classical Chinese:,3,Spring2023,1
CHIN 564,Modern Chinese Texts II,3,Spring2023,1
CHIN 598,Readings in :,3,Spring2023,1
CLS 530,Clincl Chemistry I,3,Spring2023,1
CLS 532,Clin Microbiology I,3,Spring2023,1
CLS 533,Clinical Microbiology I Lab,2,Spring2023,1
CLS 546,Hematology II,3,Spring2023,1
CLS 547,Hematology II Lab,2,Spring2023,1
CLS 549,Clin Immulgy I Lab,2,Spring2023,1
CLS 610,Adv Biotech Lectre,3,Spring2023,1
CLS 611,Adv Biotech Lab,2,Spring2023,1
CLS 621,Biotech Method Practicum,4,Spring2023,1
CLS 622,Problems Molecular Diagnostics,2,Spring2023,1
CLS 623,Moleclr Gene Pract,4,Spring2023,1
CLS 633,Spec Topics Practm,4,Spring2023,1
CLS 655,Molecular Biotechnology Review,0,Spring2023,1
CLSX 105,Intro Ancient Nr East&Grk Hist,3,Spring2023,1
CLSX 240,Roman Culture & Civilization,3,Spring2023,1
CLSX 310,Grk Rhetorc in Theory&Practice,3,Spring2023,1
CLSX 316,Ancient Magic and Witches,3,Spring2023,1
CLSX 340,"Roman Culture&Civilizatn, Hnrs",3,Spring2023,1
CLSX 380,Anct Grk Athltcs&Olympcs Games,3,Spring2023,1
CLSX 516,Gender&Sexuality Roman Culture,3,Spring2023,1
CLSX 529,Archaeology&Art of Anc Nr East,3,Spring2023,1
CLSX 575,Readings in:,3,Spring2023,1
CLSX 675,Studies in:,3,Spring2023,1
CMGT 500,Construction Engineering,3,Spring2023,1
COMS 235,Intr Rhetoric&Social Influence,3,Spring2023,1
COMS 236,"Intro Rhet&Soc Influence, Hnrs",3,Spring2023,1
COMS 244,Intr to Intrpersnl Comm Theory,3,Spring2023,1
COMS 405,Speech Writing,3,Spring2023,1
COMS 503,Post-Soviet Communication,3,Spring2023,1
COMS 551,The Rhetoric of Black Americns,3,Spring2023,1
COMS 552,The Rhetoric of Women's Rights,3,Spring2023,1
COMS 557,East Asian Communication,3,Spring2023,1
COMS 560,Seminar in:,3,Spring2023,1
COMS 620,Communication & New Technology,3,Spring2023,1
CVS  31,Physics II,2,Spring2023,1
CVS  36,Clinical Practicum II,8,Spring2023,1
CVS  39,Adult Echocardiography II,3,Spring2023,1
CVS  57,Vascular Ultrasound II,4,Spring2023,1
CVS  58,Pediatric Echocardiography II,4,Spring2023,1
CVS  75,Congenital Heart Disease,1,Spring2023,1
CVS  86,Clinical Practicum V,8,Spring2023,1
CZCH 108,Elementary Czech II,5,Spring2023,1
DANC 210,Rhythms & Structures of Music,3,Spring2023,1
DANC 211,Ballet II,2,Spring2023,1
DANC 215,Jazz II,2,Spring2023,1
DANC 290,Sophomore Review,0,Spring2023,1
DANC 375,Anatomy and Injury Prevention,3,Spring2023,1
DANC 411,Ballet IV,3,Spring2023,1
DANC 475,Career Preparation in the Arts,3,Spring2023,1
DANC 540,Fld Experienc in Dance Teachng,3,Spring2023,1
EALC 231,Introduction to:,3,Spring2023,1
EALC 330,China's Cultural Legacy,3,Spring2023,1
EALC 344,Manga: Histories and Theories,3,Spring2023,1
EALC 353,Language &Society in East Asia,3,Spring2023,1
EALC 367,Art and Culture of Japan,3,Spring2023,1
EALC 498,Dir Readng in East Asn Lng&Clt,4,Spring2023,1
EALC 530,China's Cultural Legacy,3,Spring2023,1
EALC 553,Language &Society in East Asia,3,Spring2023,1
EALC 642,Chinese Thought,3,Spring2023,1
EALC 666,Political Economy of East Asia,3,Spring2023,1
ECON 145,"Princpls of Macroeconomics,Hnr",3,Spring2023,1
ECON 399,Data 2:Foundations Data Scinc,3,Spring2023,1
ECON 515,Income Distribution&Inequality,3,Spring2023,1
ECON 582,Economic Development,3,Spring2023,1
ECON 620,Elemnts of Mathemtcl Economics,3,Spring2023,1
EECS 316,"Circuits, Electroncs&Instrmntn",3,Spring2023,1
EECS 317,Electronics & Instrumentation,2,Spring2023,1
EECS 318,Circuits and Electronics Lab,1,Spring2023,1
EECS 368,Programming Language Paradigms,3,Spring2023,1
EECS 412,Electronic Circuits II,4,Spring2023,1
EECS 441,Power Systems Engineering II,3,Spring2023,1
EECS 443,Digital Systems Design,4,Spring2023,1
EECS 444,Control Systems,3,Spring2023,1
EECS 447,Introductn to Database Systems,3,Spring2023,1
EECS 502,Senior Design Laboratory II,3,Spring2023,1
EECS 512,Electronic Circuits III,3,Spring2023,1
EECS 542,Computer Systems Design Lab II,3,Spring2023,1
EECS 562,Intro to Communication Systems,4,Spring2023,1
EECS 582,Cmptr Sci&Intrdspnry Cmpt Cpst,3,Spring2023,1
EECS 611,Electromagnetic Compatibility,3,Spring2023,1
EECS 628,Fiber Optic Communicatn Systms,3,Spring2023,1
EECS 649,Intr to Artificial Intelligenc,3,Spring2023,1
ENGL 209,Introduction to Fiction,3,Spring2023,1
ENGL 305,World Indigenous Literatures,3,Spring2023,1
ENGL 317,Topcs in American Lit to 1865:,3,Spring2023,1
ENGL 322,American Literature II,3,Spring2023,1
ENGL 332,Shakespeare,3,Spring2023,1
ENGL 381,Topics in Rhetoric&Compositn:,3,Spring2023,1
ENGL 479,The Literature of:,3,Spring2023,1
ENGL 492,The London Review,3,Spring2023,1
ENGL 555,Nonfiction Writing II,3,Spring2023,1
ENGL 565,The Gothic Tradition,3,Spring2023,1
ENGL 569,Modernism,3,Spring2023,1
